-9.56	4.89	-36.57
-9.64	4.53	-36.57
-9.71	4.53	-36.57
-9.64	4.45	-36.50
-9.49	4.60	-36.50
-9.49	4.82	-36.65
-9.71	4.60	-36.35
-9.71	4.60	-36.35
-9.49	4.53	-36.50
-9.64	4.53	-36.57
-9.64	4.60	-36.43
-9.42	4.45	-36.57
-9.49	4.45	-36.57
-9.34	4.60	-36.50
-9.34	4.45	-36.57
-9.49	4.60	-36.43
-9.56	4.23	-36.35
-9.49	4.38	-36.50
-9.42	4.60	-36.65
-9.49	4.60	-36.50
-9.34	4.60	-36.57
-9.56	4.45	-36.35
-9.64	4.38	-36.50
-9.56	4.60	-36.57
-9.42	4.67	-36.57
-9.34	4.60	-36.57
-9.49	4.60	-36.79
-9.42	4.31	-36.50
-9.64	4.60	-36.43
-9.56	4.53	-36.57
-9.34	4.75	-36.65
-9.71	4.45	-36.57
-9.64	4.60	-36.65
-9.42	4.45	-36.65
-9.49	4.60	-36.43
-9.56	4.38	-36.65
-9.27	4.16	-36.43
-9.13	4.31	-36.57
-8.83	4.38	-36.57
-8.98	4.09	-36.79
-8.69	3.80	-36.94
-8.25	3.80	-36.94
-7.88	3.58	-37.08
-7.67	3.50	-37.30
-7.37	3.14	-37.45
-6.94	3.14	-37.52
-6.57	3.14	-37.38
-5.62	2.70	-37.74
-5.26	2.85	-37.74
-4.53	2.56	-38.25
-3.87	2.26	-38.33
-3.14	2.12	-38.62
-2.34	1.97	-38.69
-1.53	2.34	-39.06
-0.58	2.19	-39.20
-0.15	2.48	-39.42
0.95	2.34	-39.64
1.68	2.56	-40.08
2.41	3.14	-40.44
3.43	3.65	-40.52
4.31	4.09	-40.59
4.75	4.75	-40.95
5.26	5.26	-41.17
5.40	6.06	-40.88
5.55	6.64	-41.32
5.40	7.23	-41.25
5.62	7.74	-41.17
5.69	8.76	-41.25
5.26	9.34	-41.25
4.60	10.15	-40.88
4.23	10.59	-40.95
3.14	11.10	-40.81
2.34	11.24	-40.66
1.68	12.05	-40.30
0.88	11.83	-40.00
